Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00100835069555272,-1.83075405323363E-05,-0.0526766687297455,0,0,0,1.15838359805273,0.0219713158559028,-9.40626592111197E-07,9.27384200896455E-05,0.00422673444217098,-7.70783645651406E-07,0.0207259268117321,0,0,0,0,0,0,package://data_box/meshes/base_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/base_link.STL,,frame-1,fix_position_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rs_lidar_helios_16_link,-0.0045208,-7.8029E-05,-0.033042,0,0,0,0.11388,0.0001253,1.1159E-07,3.3457E-07,0.00012408,-2.6658E-08,0.00019563,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_helios_16_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_helios_16_link.STL,,rs_lidar_16p-1,rs_lidar_helios_16_link,,rs_lidar_helios_16_joint,fixed,-0.00022092,0,0.1335,0,0,0,base_link,0,0,0,,,,,,,,,,,,
fix_position_link,-0.021223,0.00053568,-0.015052,0,0,0,0.11806,0.00013,1.7385E-06,-7.0058E-08,0.00019464,2.5158E-07,0.00031326,0,0,0,0,0,0,package://data_box/meshes/fix_position_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/fix_position_link.STL,,fixposition-1,fix_position_link,,fix_position_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
rs_lidar_m1_link,-0.02201,-0.011402,-0.0034903,0,0,0,0.12514,0.00012586,-2.5258E-07,-5.6245E-07,0.00012201,-8.5698E-07,0.00021988,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_m1_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/rs_lidar_m1_link.STL,,rs_lidar_m1-1,rs_lidar_m1_link,Axis_rs_lidar_m1_joint,rs_lidar_m1_joint,fixed,0.0216900000000116,0,-0.12947,0,0,0,base_link,0,0,0,,,,,,,,,,,,
zed_2i_link,-0.0039036,2.1783E-05,0.014922,0,0,0,0.16808,0.00038491,6.7993E-09,-6.9649E-08,3.2681E-05,1.8654E-09,0.00039281,0,0,0,0,0,0,package://data_box/meshes/zed_2i_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/zed_2i_link.STL,,zed2i-1,zed2i_link,Axis_zed_2i_joint,zed_2i_joint,fixed,0.044285,0,-0.071,0,0,0,base_link,0,0,1,,,,,,,,,,,,
livox_avia_link,-0.04583,0.00027976,-7.3131E-05,0,0,0,0.35,0.00022716,3.0556E-06,-7.8682E-08,0.00036482,4.2062E-08,0.00034741,0,0,0,0,0,0,package://data_box/meshes/livox_avia_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/livox_avia_link.STL,,livox_avia-1,livox_avia_link,,livox_avia_joint,fixed,0.0609,0.2146,-0.11,0,0,0,base_link,0,0,0,,,,,,,,,,,,
antenna_left_link,-0.00019466,-0.0025902,0.045614,0,0,0,0.063514,0.00010182,-6.0746E-08,1.2678E-08,0.00010183,1.0459E-08,0.00019874,0,0,0,0,0,0,package://data_box/meshes/antenna_left_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/antenna_left_link.STL,,antenna_left-1,antenna_left_link,Axis_antenna_left_joint,antenna_left_joint,fixed,0.0009,0.26873,-0.03,0,0,0,base_link,0,0,1,,,,,,,,,,,,
antenna_right_link,-0.00019235,0.0025904,0.045615,0,0,0,0.063519,0.00010182,5.9875E-08,1.2265E-08,0.00010183,-1.05E-08,0.00019874,0,0,0,0,0,0,package://data_box/meshes/antenna_right_link.STL,1,1,1,1,0,0,0,0,0,0,package://data_box/meshes/antenna_right_link.STL,,antenna_right-1,antenna_right_link,Axis_antenna_right_joint2,antenna_right_joint,fixed,0.0009,-0.26873,-0.03,0,0,0,base_link,0,0,1,,,,,,,,,,,,
